[2026-04-10 09:37:21] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:28] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:36] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:36] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:36] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:36] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:36] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:40] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:42] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:42] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:42] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:42] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:42] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:43] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:43] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:43] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:43] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:43] REJECTED | Missing required standalone line: results[tid] = (crc64_context ^ 0xFFFFFFFFFFFFFFFFUL);
[2026-04-17 08:12:43] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:43] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:43] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:43] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:46] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:48] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:48] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:50] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:50] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:52] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:52] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:52] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:55] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:56] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:12:57] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:12:57] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:12:58] REJECTED | Missing required standalone line: uint64_t crc64_context = 0xFFFFFFFFFFFFFFFFUL;
[2026-04-17 08:13:01] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:13:11] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:13:12] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:13:15] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:16] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:16] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:13:18] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:13:18] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:19] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:20] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:13:20] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:13:21] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:22] REJECTED | Bug -O1 Runtime Fail/UB
[2026-04-17 08:13:24] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:24] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:26] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:26] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:26] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:13:26] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:13:27] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:27] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:13:27] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:28] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:29] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:29] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:29] REJECTED | Driver structure corrupted or modified
[2026-04-17 08:13:30] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:30] INTERESTING | Clean Mismatch Found!
[2026-04-17 08:13:31] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:31] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:31] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:32] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:32] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:33] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:34] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:35] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:36] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:36] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:37] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:38] REJECTED | Bug -O1 Compile Fail
[2026-04-17 08:13:39] REJECTED | Bug -O1 Compile Fail
